generation code cost fitness population_size goal_size
960 Geobtib"Algositfls Qodm!%  15631.0 20 25
970 Geobtib"Algositfls Qodm!   15634.0 20 25
980 Geobtib"Algositfls Qodm!   15634.0 20 25
990 Geobtib"Algositfls Qodm!   15634.0 20 25
1000 Geobtib"Algositfls Qodm!   15634.0 20 25
1010 Geobtib"Algositfls Qodm!   15634.0 20 25
1020 Geobtit"Algositfls Qodm!   15618.0 20 25
1030 Geobtib"Algositfls Qodm!   15634.0 20 25
1040 Geobtib"Algositfls Qodm!   15634.0 20 25
1050 Geobtib"Algositfls Qodm!   15634.0 20 25
1060 Geobtib"Algositfls Qodm!   15634.0 20 25
1070 Geobtib"Algositfls Qodm!   15634.0 20 25
1080 Geodtib"Algositfls Qodm!   15636.0 20 25
1090 Geodtib"Algositfls Qodm!   15636.0 20 25
1100 Geodtib"Algositfls Qodm!   15636.0 20 25
1110 GeoWtib"Algositfls Qodm!   15623.0 20 25
1120 Geodtib"Algositfls Qodm!   15636.0 20 25
1130 Geodtib"Algositfls Qodm!   15636.0 20 25
1140 Geodtid"Algositfls Qodm!   15636.0 20 25
1150 Geodtid"Algositfls Qodm!   15636.0 20 25
1160 Geodtib"Algositfls Qodm!   15636.0 20 25
1170 Geodtid"Algositfls Qodm!   15636.0 20 25
1180 Geodtid"Algositfls Qodm!   15636.0 20 25
1190 Geodtid"Algositfls Qodm!   15636.0 20 25
1200 Geodtid"Algositfls Qodm!   15636.0 20 25
1210 Geodtid"Algositfls Qodm!   15636.0 20 25
1220 Geodtid"Algositfls Qodm!   15636.0 20 25
1230 Geodtid"Algositfls Qodm!   15636.0 20 25
1240 Geodtic"Algoqitfls Qodm!   16487.0 20 25
1250 Geodtic"Algoqitfls Qodm!   16487.0 20 25
1260 Geodtic"Algoqitfls Qodm!   16487.0 20 25
1270 Geodtic"Algoqitfls Qodm!   16487.0 20 25
1280 Geodtic"Algoqitfls Qodm!   16487.0 20 25
1290 Geodtic"Algoqitfls Qodm!   16487.0 20 25
1300 Geodtic"Algoqitfls Qodm!   16487.0 20 25
1310 Geodtic"Algoqitfls Qodm!   16487.0 20 25
1320 Geodtic"Algoqitfls Qodm!   16487.0 20 25
1330 Geodtic"Algoqitfls Qodm!   16487.0 20 25
1340 Geodtic"Algoqitfls Qodm!   16487.0 20 25
1350 Geodtic"Algoqitfls Qodm!   16487.0 20 25
1360 Geodtic"Algoqitfls Qodm!   16487.0 20 25
1370 Geodtic"Algoqitfls Rodm!   17338.0 20 25
1380 Geodtic"Algoqitfls Rodm!   17338.0 20 25
1390 Geodtic"Algoqitfls Rodm!   17338.0 20 25
1400 Geodtic"Algoqitfls Rodm!   17338.0 20 25
1410 Geodtic"Algoqitfls Rodm!   17338.0 20 25
1420 Geodtic"Algoqitfls Rodm!   17338.0 20 25
1430 Geodtic"Algoqitfls Rodm!   17338.0 20 25
1440 Geodtic"Algoqitfls Rodm!   17338.0 20 25
1450 Geodtic"Algoqitfls Rodm!   17338.0 20 25
1460 Geodtic!Algoqitfls Rodm!   17339.0 20 25
1470 Geodtic!Algoqitfls Rodm!   17339.0 20 25
1480 Geodtic!Algoqitfls Rodm!   17339.0 20 25
1490 Geodtic!Algoqitfls Rodm!   17339.0 20 25
1500 Geodtic!Algoqitfls Rodm!   17339.0 20 25
1510 Geodtic!Algoqitfls Rodm!   17339.0 20 25
1520 Geodtic!Algoqitfls Rodm!   17339.0 20 25
1530 Geodtic!Algoqitfls Rodm!   17339.0 20 25
1540 Geodtic!Algoqitfls Rodm!   17339.0 20 25
1550 Geodtic!Algoqitfls Rocm!   18190.0 20 25
1560 Geodtic!Algoqitfls Rocm!   18190.0 20 25
1570 Geodtic!Algoqitfls Rocm!   18190.0 20 25
1580 Geodtic!Algoqitfls Rocm!   18190.0 20 25
1590 Geodtic!Algoqitfls Rocm!   18190.0 20 25
1600 Geodtic!Algoqitfls Rocm!   18190.0 20 25
1610 Geodtic!Algoqitgls Rocm!   18191.0 20 25
1620 Geodtic!Algoqitgls Rocm!   18191.0 20 25
1630 Geodtic!Algoqitgls Rocm!   18191.0 20 25
1640 Geodtic!Algoqitgls Rocm!   18191.0 20 25
1650 Geodtic!Algoqitgls Rocm!   18191.0 20 25
1660 Geodtic!Algoqitgls Rocm!   18191.0 20 25
1670 Geodtic!Algoqitgls Rocm!   18191.0 20 25
1680 Geodtic!Algoqitgls Rocm!   18191.0 20 25
1690 Geodtic!Algoqitgls Rocm!   18191.0 20 25
1700 Geodtic!Algoqiwgls Rocm!   17338.0 20 25
1710 GeodtiT!Algoqitgls Rocm!   17326.0 20 25
1720 Geodtic!Algoqitgls Rocm!   18191.0 20 25
1730 Geodtic!Algoqitgls Rocm!   18191.0 20 25
1740 Geodtic!Algoqitgls Rocm!   18191.0 20 25
1750 Geodtic!Algoqitgls Rocm!   18191.0 20 25
1760 Geodtic!Algoqitgls Rocm!   18191.0 20 25
1770 Geodtic!Algoqitgls Rocm!   18191.0 20 25
